nam,ten_truong,ma_goc,ten_nganh,diem_chuan,to_hop_mon,he_dao_tao,yeu_cau_phu,phan_hieu,doi_tuong,ma_nganh,ghi_chu,university_id
2021,Đại học Y Dược - Đại học Huế,7720115,Y học cổ truyền,24.9,B00,dai_tra,khong,co_so_chinh,toan_quoc,7720115,,215
2022,Đại học Y Dược - Đại học Huế,7720115,Y học cổ truyền,21.0,B00,dai_tra,khong,co_so_chinh,toan_quoc,7720115,,215
2023,Đại học Y Dược - Đại học Huế,7720115,Y học cổ truyền,22.7,B00,dai_tra,khong,co_so_chinh,toan_quoc,7720115,,215
2024,Đại học Y Dược - Đại học Huế,7720115,Y học cổ truyền,23.5,B00,dai_tra,khong,co_so_chinh,toan_quoc,7720115,,215
2025,Đại học Y Dược - Đại học Huế,7720115,Y học cổ truyền,19.6,B00,dai_tra,khong,co_so_chinh,toan_quoc,7720115,,215
2025,Đại học Y Dược - Đại học Huế,7720115,Y học cổ truyền,19.6,B08,dai_tra,khong,co_so_chinh,toan_quoc,7720115,,215
2025,Đại học Y Dược - Đại học Huế,7720115,Y học cổ truyền,19.6,D07,dai_tra,khong,co_so_chinh,toan_quoc,7720115,,215
2018,Đại học Y Dược - Đại học Huế,7720201,Dược học,20.75,A00,dai_tra,khong,co_so_chinh,toan_quoc,7720201,,215
2019,Đại học Y Dược - Đại học Huế,7720201,Dược học,22.75,A00,dai_tra,khong,co_so_chinh,toan_quoc,7720201,,215
2020,Đại học Y Dược - Đại học Huế,7720201,Dược học,25.6,A00,dai_tra,khong,co_so_chinh,toan_quoc,7720201,,215
2021,Đại học Y Dược - Đại học Huế,7720201,Dược học,24.9,A00,dai_tra,khong,co_so_chinh,toan_quoc,7720201,,215
2022,Đại học Y Dược - Đại học Huế,7720201,Dược học,25.1,A00,dai_tra,khong,co_so_chinh,toan_quoc,7720201,,215
2022,Đại học Y Dược - Đại học Huế,7720201,Dược học,25.1,B00,dai_tra,khong,co_so_chinh,toan_quoc,7720201,,215
2023,Đại học Y Dược - Đại học Huế,7720201,Dược học,24.7,A00,dai_tra,khong,co_so_chinh,toan_quoc,7720201,,215
2023,Đại học Y Dược - Đại học Huế,7720201,Dược học,24.7,B00,dai_tra,khong,co_so_chinh,toan_quoc,7720201,,215
2024,Đại học Y Dược - Đại học Huế,7720201,Dược học,24.55,A00,dai_tra,khong,co_so_chinh,toan_quoc,7720201,,215
2024,Đại học Y Dược - Đại học Huế,7720201,Dược học,24.55,B00,dai_tra,khong,co_so_chinh,toan_quoc,7720201,,215
2025,Đại học Y Dược - Đại học Huế,7720201,Dược học,21.25,A00,dai_tra,khong,co_so_chinh,toan_quoc,7720201,,215
2025,Đại học Y Dược - Đại học Huế,7720201,Dược học,21.25,B00,dai_tra,khong,co_so_chinh,toan_quoc,7720201,,215
2025,Đại học Y Dược - Đại học Huế,7720201,Dược học,21.25,D07,dai_tra,khong,co_so_chinh,toan_quoc,7720201,,215
2018,Đại học Y Dược - Đại học Huế,7720301,Điều dưỡng,18.15,B00,dai_tra,khong,co_so_chinh,toan_quoc,7720301,,215
2019,Đại học Y Dược - Đại học Huế,7720301,Điều dưỡng,19.25,B00,dai_tra,khong,co_so_chinh,toan_quoc,7720301,,215
2020,Đại học Y Dược - Đại học Huế,7720301,Điều dưỡng,19.15,B00,dai_tra,khong,co_so_chinh,toan_quoc,7720301,,215
2021,Đại học Y Dược - Đại học Huế,7720301,Điều dưỡng,21.9,B00,dai_tra,khong,co_so_chinh,toan_quoc,7720301,,215
2022,Đại học Y Dược - Đại học Huế,7720301,Điều dưỡng,19.0,B00,dai_tra,khong,co_so_chinh,toan_quoc,7720301,,215
2023,Đại học Y Dược - Đại học Huế,7720301,Điều dưỡng,19.05,B00,dai_tra,khong,co_so_chinh,toan_quoc,7720301,,215
2023,Đại học Y Dược - Đại học Huế,7720301,Điều dưỡng,19.05,B08,dai_tra,khong,co_so_chinh,toan_quoc,7720301,,215
2024,Đại học Y Dược - Đại học Huế,7720301,Điều dưỡng,19.9,B00,dai_tra,khong,co_so_chinh,toan_quoc,7720301,,215
2024,Đại học Y Dược - Đại học Huế,7720301,Điều dưỡng,19.9,B08,dai_tra,khong,co_so_chinh,toan_quoc,7720301,,215
2025,Đại học Y Dược - Đại học Huế,7720301,Điều dưỡng,17.0,B00,dai_tra,khong,co_so_chinh,toan_quoc,7720301,,215
2025,Đại học Y Dược - Đại học Huế,7720301,Điều dưỡng,17.0,B08,dai_tra,khong,co_so_chinh,toan_quoc,7720301,,215
2025,Đại học Y Dược - Đại học Huế,7720301,Điều dưỡng,17.0,D07,dai_tra,khong,co_so_chinh,toan_quoc,7720301,,215
2020,Đại học Y Dược - Đại học Huế,7720302,Hộ sinh,22.5,B00,dai_tra,khong,co_so_chinh,toan_quoc,7720302,,215
2021,Đại học Y Dược - Đại học Huế,7720302,Hộ sinh,19.05,B00,dai_tra,khong,co_so_chinh,toan_quoc,7720302,,215
2022,Đại học Y Dược - Đại học Huế,7720302,Hộ sinh,19.0,B01,dai_tra,khong,co_so_chinh,toan_quoc,7720302,,215
2023,Đại học Y Dược - Đại học Huế,7720302,Hộ sinh,19.0,B00,dai_tra,khong,co_so_chinh,toan_quoc,7720302,,215
2024,Đại học Y Dược - Đại học Huế,7720302,Hộ sinh,29.0,B00,dai_tra,khong,co_so_chinh,toan_quoc,7720302,,215
2024,Đại học Y Dược - Đại học Huế,7720302,Hộ sinh,29.0,B08,dai_tra,khong,co_so_chinh,toan_quoc,7720302,,215
2025,Đại học Y Dược - Đại học Huế,7720302,Hộ sinh,17.0,B00,dai_tra,khong,co_so_chinh,toan_quoc,7720302,,215
2025,Đại học Y Dược - Đại học Huế,7720302,Hộ sinh,17.0,B08,dai_tra,khong,co_so_chinh,toan_quoc,7720302,,215
2025,Đại học Y Dược - Đại học Huế,7720302,Hộ sinh,17.0,D07,dai_tra,khong,co_so_chinh,toan_quoc,7720302,,215
2024,Đại học Y Dược - Đại học Huế,7720401,Dinh dưỡng,15.0,B00,dai_tra,khong,co_so_chinh,toan_quoc,7720401,,215
2024,Đại học Y Dược - Đại học Huế,7720401,Dinh dưỡng,15.0,B08,dai_tra,khong,co_so_chinh,toan_quoc,7720401,,215
2025,Đại học Y Dược - Đại học Huế,7720401,Dinh dưỡng,17.0,B00,dai_tra,khong,co_so_chinh,toan_quoc,7720401,,215
2025,Đại học Y Dược - Đại học Huế,7720401,Dinh dưỡng,17.0,B08,dai_tra,khong,co_so_chinh,toan_quoc,7720401,,215
2025,Đại học Y Dược - Đại học Huế,7720401,Dinh dưỡng,17.0,D07,dai_tra,khong,co_so_chinh,toan_quoc,7720401,,215
2018,Đại học Y Dược - Đại học Huế,7720501,Răng- Hàm -Mặt,22.75,B00,dai_tra,khong,co_so_chinh,toan_quoc,7720501,,215
2019,Đại học Y Dược - Đại học Huế,7720501,Răng- Hàm -Mặt,24.7,B00,dai_tra,khong,co_so_chinh,toan_quoc,7720501,,215
2020,Đại học Y Dược - Đại học Huế,7720501,Răng- Hàm -Mặt,27.25,B00,dai_tra,khong,co_so_chinh,toan_quoc,7720501,,215
2021,Đại học Y Dược - Đại học Huế,7720501,Răng- Hàm -Mặt,26.85,B00,dai_tra,khong,co_so_chinh,toan_quoc,7720501,,215
2022,Đại học Y Dược - Đại học Huế,7720501,Răng- Hàm -Mặt,26.2,B00,dai_tra,khong,co_so_chinh,toan_quoc,7720501,,215
2023,Đại học Y Dược - Đại học Huế,7720501,Răng- Hàm -Mặt,25.8,B00,dai_tra,khong,co_so_chinh,toan_quoc,7720501,,215
2024,Đại học Y Dược - Đại học Huế,7720501,Răng- Hàm -Mặt,25.95,B00,dai_tra,khong,co_so_chinh,toan_quoc,7720501,,215
2025,Đại học Y Dược - Đại học Huế,7720501,Răng- Hàm -Mặt,24.4,B00,dai_tra,khong,co_so_chinh,toan_quoc,7720501,,215
2025,Đại học Y Dược - Đại học Huế,7720501,Răng- Hàm -Mặt,24.4,B08,dai_tra,khong,co_so_chinh,toan_quoc,7720501,,215
2025,Đại học Y Dược - Đại học Huế,7720501,Răng- Hàm -Mặt,24.4,D07,dai_tra,khong,co_so_chinh,toan_quoc,7720501,,215
2018,Đại học Y Dược - Đại học Huế,7720601,Kỹ thuật xét nghiệm y học,19.25,B00,dai_tra,khong,co_so_chinh,toan_quoc,7720601,,215
2019,Đại học Y Dược - Đại học Huế,7720601,Kỹ thuật xét nghiệm y học,21.25,B00,dai_tra,khong,co_so_chinh,toan_quoc,7720601,,215
2020,Đại học Y Dược - Đại học Huế,7720601,Kỹ thuật xét nghiệm y học,24.4,B00,dai_tra,khong,co_so_chinh,toan_quoc,7720601,,215
2021,Đại học Y Dược - Đại học Huế,7720601,Kỹ thuật xét nghiệm y học,24.5,B00,dai_tra,khong,co_so_chinh,toan_quoc,7720601,,215
2022,Đại học Y Dược - Đại học Huế,7720601,Kỹ thuật xét nghiệm y học,19.5,B02,dai_tra,khong,co_so_chinh,toan_quoc,7720601,,215
2023,Đại học Y Dược - Đại học Huế,7720601,Kỹ thuật xét nghiệm y học,20.7,B00,dai_tra,khong,co_so_chinh,toan_quoc,7720601,,215
2024,Đại học Y Dược - Đại học Huế,7720601,Kỹ thuật xét nghiệm y học,21.7,B00,dai_tra,khong,co_so_chinh,toan_quoc,7720601,,215
2024,Đại học Y Dược - Đại học Huế,7720601,Kỹ thuật xét nghiệm y học,21.7,B08,dai_tra,khong,co_so_chinh,toan_quoc,7720601,,215
2025,Đại học Y Dược - Đại học Huế,7720601,Kỹ thuật xét nghiệm y học,17.25,B00,dai_tra,khong,co_so_chinh,toan_quoc,7720601,,215
2025,Đại học Y Dược - Đại học Huế,7720601,Kỹ thuật xét nghiệm y học,17.25,B08,dai_tra,khong,co_so_chinh,toan_quoc,7720601,,215
2025,Đại học Y Dược - Đại học Huế,7720601,Kỹ thuật xét nghiệm y học,17.25,D07,dai_tra,khong,co_so_chinh,toan_quoc,7720601,,215
2018,Đại học Y Dược - Đại học Huế,7720602,Kỹ thuật hình ảnh y học,18.5,B00,dai_tra,khong,co_so_chinh,toan_quoc,7720602,,215
2019,Đại học Y Dược - Đại học Huế,7720602,Kỹ thuật hình ảnh y học,20.25,B00,dai_tra,khong,co_so_chinh,toan_quoc,7720602,,215
2020,Đại học Y Dược - Đại học Huế,7720602,Kỹ thuật hình ảnh y học,23.45,B00,dai_tra,khong,co_so_chinh,toan_quoc,7720602,,215
2021,Đại học Y Dược - Đại học Huế,7720602,Kỹ thuật hình ảnh y học,23.5,B00,dai_tra,khong,co_so_chinh,toan_quoc,7720602,,215
2022,Đại học Y Dược - Đại học Huế,7720602,Kỹ thuật hình ảnh y học,19.0,B03,dai_tra,khong,co_so_chinh,toan_quoc,7720602,,215
2023,Đại học Y Dược - Đại học Huế,7720602,Kỹ thuật hình ảnh y học,19.05,A00,dai_tra,khong,co_so_chinh,toan_quoc,7720602,,215
2023,Đại học Y Dược - Đại học Huế,7720602,Kỹ thuật hình ảnh y học,19.05,B00,dai_tra,khong,co_so_chinh,toan_quoc,7720602,,215
2024,Đại học Y Dược - Đại học Huế,7720602,Kỹ thuật hình ảnh y học,19.8,A00,dai_tra,khong,co_so_chinh,toan_quoc,7720602,,215
2024,Đại học Y Dược - Đại học Huế,7720602,Kỹ thuật hình ảnh y học,19.8,B00,dai_tra,khong,co_so_chinh,toan_quoc,7720602,,215
2025,Đại học Y Dược - Đại học Huế,7720602,Kỹ thuật hình ảnh y học,19.0,A00,dai_tra,khong,co_so_chinh,toan_quoc,7720602,,215
2025,Đại học Y Dược - Đại học Huế,7720602,Kỹ thuật hình ảnh y học,19.0,B00,dai_tra,khong,co_so_chinh,toan_quoc,7720602,,215
2025,Đại học Y Dược - Đại học Huế,7720602,Kỹ thuật hình ảnh y học,19.0,B08,dai_tra,khong,co_so_chinh,toan_quoc,7720602,,215
2025,Đại học Y Dược - Đại học Huế,7720602,Kỹ thuật hình ảnh y học,19.0,D07,dai_tra,khong,co_so_chinh,toan_quoc,7720602,,215
2018,Đại học Y Dược - Đại học Huế,7720701,Y tế công cộng,16.15,B00,dai_tra,khong,co_so_chinh,toan_quoc,7720701,,215
2019,Đại học Y Dược - Đại học Huế,7720701,Y tế công cộng,16.5,B00,dai_tra,khong,co_so_chinh,toan_quoc,7720701,,215
2020,Đại học Y Dược - Đại học Huế,7720701,Y tế công cộng,17.15,B00,dai_tra,khong,co_so_chinh,toan_quoc,7720701,,215
2021,Đại học Y Dược - Đại học Huế,7720701,Y tế công cộng,16.0,B00,dai_tra,khong,co_so_chinh,toan_quoc,7720701,,215
2022,Đại học Y Dược - Đại học Huế,7720701,Y tế công cộng,16.0,B04,dai_tra,khong,co_so_chinh,toan_quoc,7720701,,215
2023,Đại học Y Dược - Đại học Huế,7720701,Y tế công cộng,16.0,B00,dai_tra,khong,co_so_chinh,toan_quoc,7720701,,215
2023,Đại học Y Dược - Đại học Huế,7720701,Y tế công cộng,16.0,B08,dai_tra,khong,co_so_chinh,toan_quoc,7720701,,215
2024,Đại học Y Dược - Đại học Huế,7720701,Y tế công cộng,15.0,B00,dai_tra,khong,co_so_chinh,toan_quoc,7720701,,215
2024,Đại học Y Dược - Đại học Huế,7720701,Y tế công cộng,15.0,B08,dai_tra,khong,co_so_chinh,toan_quoc,7720701,,215
2025,Đại học Y Dược - Đại học Huế,7720701,Y tế công cộng,17.0,B00,dai_tra,khong,co_so_chinh,toan_quoc,7720701,,215
2025,Đại học Y Dược - Đại học Huế,7720701,Y tế công cộng,17.0,B08,dai_tra,khong,co_so_chinh,toan_quoc,7720701,,215
2025,Đại học Y Dược - Đại học Huế,7720701,Y tế công cộng,17.0,D07,dai_tra,khong,co_so_chinh,toan_quoc,7720701,,215
2018,Đại học Y Dược - Đại học Thái Nguyên,7720101,Y khoa,22.25,B00,dai_tra,khong,co_so_chinh,toan_quoc,7720101,,228
2019,Đại học Y Dược - Đại học Thái Nguyên,7720101,Y khoa,23.6,B00,dai_tra,khong,co_so_chinh,toan_quoc,7720101,,228
2020,Đại học Y Dược - Đại học Thái Nguyên,7720101,Y khoa,26.4,B00,dai_tra,khong,co_so_chinh,toan_quoc,7720101,,228
2020,Đại học Y Dược - Đại học Thái Nguyên,7720101,Y khoa,26.4,D07,dai_tra,khong,co_so_chinh,toan_quoc,7720101,,228
2020,Đại học Y Dược - Đại học Thái Nguyên,7720101,Y khoa,26.4,D08,dai_tra,khong,co_so_chinh,toan_quoc,7720101,,228
2021,Đại học Y Dược - Đại học Thái Nguyên,7720101,Y khoa,26.2,B00,dai_tra,khong,co_so_chinh,toan_quoc,7720101,,228
2021,Đại học Y Dược - Đại học Thái Nguyên,7720101,Y khoa,26.2,D07,dai_tra,khong,co_so_chinh,toan_quoc,7720101,,228
2021,Đại học Y Dược - Đại học Thái Nguyên,7720101,Y khoa,26.2,D08,dai_tra,khong,co_so_chinh,toan_quoc,7720101,,228
2022,Đại học Y Dược - Đại học Thái Nguyên,7720101,Y khoa,25.75,B00,dai_tra,khong,co_so_chinh,toan_quoc,7720101,,228
2022,Đại học Y Dược - Đại học Thái Nguyên,7720101,Y khoa,25.75,D07,dai_tra,khong,co_so_chinh,toan_quoc,7720101,,228
2022,Đại học Y Dược - Đại học Thái Nguyên,7720101,Y khoa,25.75,D08,dai_tra,khong,co_so_chinh,toan_quoc,7720101,,228
2023,Đại học Y Dược - Đại học Thái Nguyên,7720101,Y khoa,26.0,B00,dai_tra,khong,co_so_chinh,toan_quoc,7720101,,228
2023,Đại học Y Dược - Đại học Thái Nguyên,7720101,Y khoa,26.0,D07,dai_tra,khong,co_so_chinh,toan_quoc,7720101,,228
2023,Đại học Y Dược - Đại học Thái Nguyên,7720101,Y khoa,26.0,D08,dai_tra,khong,co_so_chinh,toan_quoc,7720101,,228
2024,Đại học Y Dược - Đại học Thái Nguyên,7720101,Y khoa,26.25,B00,dai_tra,khong,co_so_chinh,toan_quoc,7720101,,228
2024,Đại học Y Dược - Đại học Thái Nguyên,7720101,Y khoa,26.25,D07,dai_tra,khong,co_so_chinh,toan_quoc,7720101,,228
2024,Đại học Y Dược - Đại học Thái Nguyên,7720101,Y khoa,26.25,D08,dai_tra,khong,co_so_chinh,toan_quoc,7720101,,228
2025,Đại học Y Dược - Đại học Thái Nguyên,7720101,Y khoa,25.85,A00,dai_tra,khong,co_so_chinh,toan_quoc,7720101,,228
2025,Đại học Y Dược - Đại học Thái Nguyên,7720101,Y khoa,25.85,A02,dai_tra,khong,co_so_chinh,toan_quoc,7720101,,228
2025,Đại học Y Dược - Đại học Thái Nguyên,7720101,Y khoa,25.85,B00,dai_tra,khong,co_so_chinh,toan_quoc,7720101,,228
2025,Đại học Y Dược - Đại học Thái Nguyên,7720101,Y khoa,25.85,D07,dai_tra,khong,co_so_chinh,toan_quoc,7720101,,228
2025,Đại học Y Dược - Đại học Thái Nguyên,7720101,Y khoa,25.85,D08,dai_tra,khong,co_so_chinh,toan_quoc,7720101,,228
2018,Đại học Y Dược - Đại học Thái Nguyên,7720110,Y học dự phòng,16.75,B00,dai_tra,khong,co_so_chinh,toan_quoc,7720110,,228
2019,Đại học Y Dược - Đại học Thái Nguyên,7720110,Y học dự phòng,18.0,B00,dai_tra,khong,co_so_chinh,toan_quoc,7720110,,228
2019,Đại học Y Dược - Đại học Thái Nguyên,7720110,Y học dự phòng,18.0,D08,dai_tra,khong,co_so_chinh,toan_quoc,7720110,,228
2020,Đại học Y Dược - Đại học Thái Nguyên,7720110,Y học dự phòng,20.9,B00,dai_tra,khong,co_so_chinh,toan_quoc,7720110,,228
2020,Đại học Y Dược - Đại học Thái Nguyên,7720110,Y học dự phòng,20.9,D07,dai_tra,khong,co_so_chinh,toan_quoc,7720110,,228
2020,Đại học Y Dược - Đại học Thái Nguyên,7720110,Y học dự phòng,20.9,D08,dai_tra,khong,co_so_chinh,toan_quoc,7720110,,228
2021,Đại học Y Dược - Đại học Thái Nguyên,7720110,Y học dự phòng,21.8,B00,dai_tra,khong,co_so_chinh,toan_quoc,7720110,,228
2021,Đại học Y Dược - Đại học Thái Nguyên,7720110,Y học dự phòng,21.8,D07,dai_tra,khong,co_so_chinh,toan_quoc,7720110,,228
2021,Đại học Y Dược - Đại học Thái Nguyên,7720110,Y học dự phòng,21.8,D08,dai_tra,khong,co_so_chinh,toan_quoc,7720110,,228
2022,Đại học Y Dược - Đại học Thái Nguyên,7720110,Y học dự phòng,21.8,B00,dai_tra,khong,co_so_chinh,toan_quoc,7720110,,228
2022,Đại học Y Dược - Đại học Thái Nguyên,7720110,Y học dự phòng,21.8,D07,dai_tra,khong,co_so_chinh,toan_quoc,7720110,,228
2022,Đại học Y Dược - Đại học Thái Nguyên,7720110,Y học dự phòng,21.8,D08,dai_tra,khong,co_so_chinh,toan_quoc,7720110,,228
2023,Đại học Y Dược - Đại học Thái Nguyên,7720110,Y học dự phòng,21.25,B00,dai_tra,khong,co_so_chinh,toan_quoc,7720110,,228
2023,Đại học Y Dược - Đại học Thái Nguyên,7720110,Y học dự phòng,21.25,D07,dai_tra,khong,co_so_chinh,toan_quoc,7720110,,228
2023,Đại học Y Dược - Đại học Thái Nguyên,7720110,Y học dự phòng,21.25,D08,dai_tra,khong,co_so_chinh,toan_quoc,7720110,,228
2024,Đại học Y Dược - Đại học Thái Nguyên,7720110,Y học dự phòng,21.0,B00,dai_tra,khong,co_so_chinh,toan_quoc,7720110,,228
2024,Đại học Y Dược - Đại học Thái Nguyên,7720110,Y học dự phòng,21.0,D07,dai_tra,khong,co_so_chinh,toan_quoc,7720110,,228
2024,Đại học Y Dược - Đại học Thái Nguyên,7720110,Y học dự phòng,21.0,D08,dai_tra,khong,co_so_chinh,toan_quoc,7720110,,228
2025,Đại học Y Dược - Đại học Thái Nguyên,7720110,Y học dự phòng,18.3,A00,dai_tra,khong,co_so_chinh,toan_quoc,7720110,,228
2025,Đại học Y Dược - Đại học Thái Nguyên,7720110,Y học dự phòng,18.3,A02,dai_tra,khong,co_so_chinh,toan_quoc,7720110,,228
2025,Đại học Y Dược - Đại học Thái Nguyên,7720110,Y học dự phòng,18.3,B00,dai_tra,khong,co_so_chinh,toan_quoc,7720110,,228
2025,Đại học Y Dược - Đại học Thái Nguyên,7720110,Y học dự phòng,18.3,D07,dai_tra,khong,co_so_chinh,toan_quoc,7720110,,228
2025,Đại học Y Dược - Đại học Thái Nguyên,7720110,Y học dự phòng,18.3,D08,dai_tra,khong,co_so_chinh,toan_quoc,7720110,,228
2018,Đại học Y Dược - Đại học Thái Nguyên,7720201,Dược học,19.5,A00,dai_tra,khong,co_so_chinh,toan_quoc,7720201,,228
2019,Đại học Y Dược - Đại học Thái Nguyên,7720201,Dược học,21.7,A00,dai_tra,khong,co_so_chinh,toan_quoc,7720201,,228
2019,Đại học Y Dược - Đại học Thái Nguyên,7720201,Dược học,21.7,B00,dai_tra,khong,co_so_chinh,toan_quoc,7720201,,228
2020,Đại học Y Dược - Đại học Thái Nguyên,7720201,Dược học,24.85,A00,dai_tra,khong,co_so_chinh,toan_quoc,7720201,,228
2020,Đại học Y Dược - Đại học Thái Nguyên,7720201,Dược học,24.85,B00,dai_tra,khong,co_so_chinh,toan_quoc,7720201,,228
2020,Đại học Y Dược - Đại học Thái Nguyên,7720201,Dược học,24.85,D07,dai_tra,khong,co_so_chinh,toan_quoc,7720201,,228
2021,Đại học Y Dược - Đại học Thái Nguyên,7720201,Dược học,25.2,A00,dai_tra,khong,co_so_chinh,toan_quoc,7720201,,228
2021,Đại học Y Dược - Đại học Thái Nguyên,7720201,Dược học,25.2,B00,dai_tra,khong,co_so_chinh,toan_quoc,7720201,,228
2021,Đại học Y Dược - Đại học Thái Nguyên,7720201,Dược học,25.2,D07,dai_tra,khong,co_so_chinh,toan_quoc,7720201,,228
2022,Đại học Y Dược - Đại học Thái Nguyên,7720201,Dược học,24.8,A00,dai_tra,khong,co_so_chinh,toan_quoc,7720201,,228
2022,Đại học Y Dược - Đại học Thái Nguyên,7720201,Dược học,24.8,B00,dai_tra,khong,co_so_chinh,toan_quoc,7720201,,228
2022,Đại học Y Dược - Đại học Thái Nguyên,7720201,Dược học,24.8,D07,dai_tra,khong,co_so_chinh,toan_quoc,7720201,,228
2023,Đại học Y Dược - Đại học Thái Nguyên,7720201,Dược học,24.7,B00,dai_tra,khong,co_so_chinh,toan_quoc,7720201,,228
2023,Đại học Y Dược - Đại học Thái Nguyên,7720201,Dược học,24.7,D07,dai_tra,khong,co_so_chinh,toan_quoc,7720201,,228
2023,Đại học Y Dược - Đại học Thái Nguyên,7720201,Dược học,24.7,D08,dai_tra,khong,co_so_chinh,toan_quoc,7720201,,228
2024,Đại học Y Dược - Đại học Thái Nguyên,7720201,Dược học,24.75,B00,dai_tra,khong,co_so_chinh,toan_quoc,7720201,,228
2024,Đại học Y Dược - Đại học Thái Nguyên,7720201,Dược học,24.75,D07,dai_tra,khong,co_so_chinh,toan_quoc,7720201,,228
2024,Đại học Y Dược - Đại học Thái Nguyên,7720201,Dược học,24.75,D08,dai_tra,khong,co_so_chinh,toan_quoc,7720201,,228
2025,Đại học Y Dược - Đại học Thái Nguyên,7720201,Dược học,22.8,A00,dai_tra,khong,co_so_chinh,toan_quoc,7720201,,228
2025,Đại học Y Dược - Đại học Thái Nguyên,7720201,Dược học,22.8,A01,dai_tra,khong,co_so_chinh,toan_quoc,7720201,,228
2025,Đại học Y Dược - Đại học Thái Nguyên,7720201,Dược học,22.8,A02,dai_tra,khong,co_so_chinh,toan_quoc,7720201,,228
2025,Đại học Y Dược - Đại học Thái Nguyên,7720201,Dược học,22.8,B00,dai_tra,khong,co_so_chinh,toan_quoc,7720201,,228
2025,Đại học Y Dược - Đại học Thái Nguyên,7720201,Dược học,22.8,D07,dai_tra,khong,co_so_chinh,toan_quoc,7720201,,228
2025,Đại học Y Dược - Đại học Thái Nguyên,7720201,Dược học,22.8,D08,dai_tra,khong,co_so_chinh,toan_quoc,7720201,,228
